people_id,name,birth_date
p_119432,Ken'ichi Endô,\N
p_153172,Yasuhito Hida,\N
p_153173,Momo Iizawa,\N
p_153174,Naomi Itô,\N
p_33161,François Cluzet,1955-09-21
p_232372,Alice Isaaz,1991-07-26
p_232373,Lola Le Lann,1996-02-09
p_59436,Alexander Huber,\N
p_43170,Thomas Huber,1963-07-11
p_1164,F. Murray Abraham,1939-10-24
p_166348,Matt Ryan,1981-04-11
p_109797,Amy Manson,1985-09-09
p_230833,Matt Reeves,\N
p_17245,Ben McKenzie,1978-09-12
p_10825,Donal Logue,1966-02-27
p_185331,David Mazouz,2001-02-19
p_54882,Morena Baccarin,1979-06-02
p_28848,Sean Pertwee,1964-06-04
p_59262,Robin Lord Taylor,1978-06-04
p_228471,Camren Bicondova,1999-05-22
p_228472,Cory Michael Smith,1986-11-14
p_207718,Chris Chalk,1984-12-07
p_190567,Crystal Reed,1985-02-06
p_100955,Peyton List,1986-08-08
p_229145,J.W. Cortes,\N
p_229462,Stu 'Large' Riley,1963-08-19
p_250734,Krista Braun,\N
p_160193,Greg Crowe,\N
p_230343,Wesley Volcy,\N
p_68515,Vladimir Garin,\N
p_68516,Ivan Dobronravov,\N
p_68517,Konstantin Lavronenko,\N
p_68518,Natalya Vdovina,\N
p_45808,Herbert Fritsch,1951-01-20
p_279697,Cora Frost,\N
p_279698,Valeska Hanel,\N
p_2729,Irm Hermann,1942-10-04
p_5266,Rüdiger Vogler,1942-05-14
p_235506,Alexandra Kluge,1937-04-02
p_38107,Hans Korte,1929-04-08
p_104243,Werner Kreindl,1927-10-20
p_26418,Günter Mack,\N
p_26247,Eva Maria Meineke,1923-10-08
p_51818,Michelle von Treuberg,1992-11-09
p_51819,Lucie Hollmann,1993-08-23
p_51820,Paula Riemann,1993-08-03
p_51821,Zsa Zsa Inci Bürkle,1995-08-20
p_51822,Jette Herig,\N
p_51823,Jeremy Mockridge,1993-09-04
p_1291,Philip Wiegratz,\N
p_51824,Martin Kurz,\N
p_5514,Vincent Redetzki,1992-04-01
p_23524,Veronica Ferres,1965-06-10
p_4537,Doris Schade,1924-05-21
p_17068,Jessica Schwarz,1977-05-05
p_4621,Axel Prahl,1960-03-26
p_51825,Lukas Steimle,\N
p_51826,Lukas Engel,\N
p_11953,Benno Fürmann,1972-01-17
p_51827,Piet Klocke,\N
p_15336,Dougray Scott,1965-11-25
p_240159,Sam Littlefield,\N
p_243273,Christina Wolfe,\N
p_118347,Warren Christie,1975-11-04
p_250974,Rebecca Davis,1980-04-24
p_193475,Shakura S'Aida,\N
p_249623,Jason Day,\N
p_62867,Andrew Moxham,\N
p_249770,Peter Grasso,\N
p_248692,Rhys Williams,1983-01-01
p_36730,Matthias Koeberlin,1974-03-28
p_91189,Nora Waldstätten,1981-12-01
p_4794,Maria Simon,1976-02-06
p_206415,Simon Hatzl,1973-07-02
p_44652,Hary Prinz,1965-01-01
p_102773,Inez Bjørg David,1982-02-06
p_44323,Tatjana Alexander,1969-01-01
p_29123,Paul Wegener,1874-12-11
p_28071,Adele Sandrock,1863-08-19
p_29176,Lyda Salmonova,1889-07-14
p_57379,José Lewgoy,1920-11-16
p_83598,Jardel Filho,\N
p_83599,Paulo Autran,\N
p_133743,Paulo Gracindo,\N
p_133744,Hugo Carvana,\N
p_121254,Yukari Ôshima,\N
p_62937,Sai-Kit Yung,\N
p_153691,Daniel Mintz,\N
p_120960,Kara Hui,1960-02-03
p_65992,Siu Chung Mok,\N
p_153692,Ng Man Tat,\N
p_153693,Chang Seng-Kwong,\N
p_70674,Norman Chu,1955-05-06
p_15533,Olivier Martinez,1966-01-12
p_40938,Romane Bohringer,1973-08-14
p_37946,Aitana Sánchez-Gijón,1968-11-05
p_55922,Didier Bezace,1946-02-10
p_21236,Aldo Maccione,1935-11-27
p_87773,Irina Anisimova-Wulf,\N
p_87775,Vladimir Butenko,\N
p_87776,Irina Kupchenko,1948-03-01
p_87777,Yekaterina Mazurova,\N
p_87778,Irina Miroshnichenko,1942-07-24
p_87779,Nikolai Pastukhov,\N
p_87780,Innokenti Smoktunovsky,\N
p_47436,Vladimir Zeldin,1915-02-10
p_38131,Sergej Bondartschuk,1920-09-25
p_11275,Stephen Fry,1957-08-24
p_223051,Ignacio Serricchio,1982-04-19
p_222906,Erin Way,1987-09-13
p_90022,Ronnie Gene Blevins,1977-06-20
p_39173,Jaime Bergman,1975-09-23
p_232890,Joe Ochman,\N
p_84824,Christina Carlisi,\N
p_87216,John Philbin,1960-04-27
p_121038,Al Harrington,1935-12-12
